geo_value, forecast_date, time_value, value
sd, 2025-01-08, 2025-01-01, 33
id, 2025-01-08, 2025-01-01, 323
az, 2025-02-12, 2025-02-02, 850
de, 2025-02-12, 2025-02-02, 130
id, 2025-02-12, 2025-02-02, 150
nm, 2025-02-12, 2025-02-02, 200
ca, 2025-02-12, 2025-02-02, 3893
ms, 2025-02-12, 2025-02-02, 420
ok, 2025-02-12, 2025-02-02, 850
dc, 2025-02-19, 2025-02-12, 130
ga, 2025-02-19, 2025-02-12, 700
nm, 2025-02-19, 2025-02-12, 170
ok, 2025-02-19, 2025-02-12, 600
dc, 2025-02-26, 2025-02-12, 160
dc, 2025-02-26, 2025-02-19, 130
dc, 2025-03-05, 2025-02-12, 160
dc, 2025-03-05, 2025-02-19, 130
hi, 2025-03-05, 2025-02-26, 70
nj, 2025-03-26, 2025-03-22, 260
tn, 2025-03-26, 2025-03-22, 430
